k,d,x,factorization,first_opposite_pair
0,3,38408443,"19*2021497",
1,7,38408444,"2^2*71*135241",
2,11,38408445,"3^3*5*284507",
3,15,38408446,"2*19204223",
4,19,38408447,"7*11*47*10613",
5,23,38408448,"2^8*3*13*3847",
6,27,38408449,"2663*14423",
7,31,38408450,"2*5^2*768169",
8,35,38408451,"3*12802817",
9,39,38408452,"2^2*9602113",
10,43,38408453,"38408453",
11,47,38408454,"2*3^2*7^3*6221",
12,51,38408455,"5*7681691",
13,55,38408456,"2^3*4801057",
14,59,38408457,"3*17*79*9533",
15,63,38408458,"2*11*1745839",
16,67,38408459,"23*1669933",
17,71,38408460,"2^2*3*5*43*14887",
18,75,38408461,"7*13^2*32467",
19,79,38408462,"2*19*1010749",
20,83,38408463,"3^2*307*13901",
21,87,38408464,"2^4*53*45293",
22,91,38408465,"5*7681693",
23,95,38408466,"2*3*6401411",
24,99,38408467,"61*733*859",
25,103,38408468,"2^2*7*1371731",
26,107,38408469,"3*11*59*19727",
27,111,38408470,"2*5*29^2*4567",
28,115,38408471,"38408471",
29,119,38408472,"2^3*3^3*41*4337",
30,123,38408473,"31*419*2957",
31,127,38408474,"2*13*17*113*769",113:1538
