k,d,count,percent
0,3,430409,59.797216097674152
1,7,235146,32.669103518987022
2,11,35036,4.867591670244144
3,15,7736,1.074771354064639
4,19,5323,0.739530496081447
5,23,4040,0.561281834335722
6,27,437,0.060712911288295
7,31,1059,0.147128084792458
8,35,143,0.019867154037131
9,39,227,0.031537370394606
10,43,33,0.004584727854722
11,47,120,0.016671737653536
12,51,16,0.002222898353805
13,55,20,0.002778622942256
14,59,20,0.002778622942256
15,63,6,0.000833586882677
17,71,7,0.000972518029790
19,79,1,0.000138931147113
22,91,1,0.000138931147113
26,107,1,0.000138931147113
